User ID,Gender,Age,Country,Device Type,App Version,Sessions Per Day,Avg Session Duration Min,Screens Viewed,Push Notifications Clicked,In App Purchases,Subscription Status,Churn Risk Score,Last Login Date,User Rating
User_2990,Male,40,Australia,iOS,1.1,3,16.35,25,9,0,Free,0.11,6/25/2024,4.9
User_1333,Female,28,Germany,iOS,1,7,3.65,25,7,2,Premium,0.87,8/31/2023,1.6
User_1043,Other,56,India,Android,1.1,6,28.69,28,5,3,Premium,0.13,5/2/2024,1.5
User_1865,Other,23,Germany,Android,2.1,12,30.47,17,6,4,Free,0.94,1/6/2023,2.4
User_1214,Female,56,UK,iOS,1.2,6,57.77,18,3,0,Free,0.49,5/8/2025,4.2
User_1437,Other,45,USA,iOS,1,10,8.17,9,0,4,Free,0.83,12/20/2024,4.4
User_2274,Other,19,UK,Android,2.1,14,10.57,49,9,2,Free,0.16,4/8/2023,4
User_1225,Other,60,Germany,Android,1.2,7,13.73,16,6,1,Free,0.33,2/13/2025,1.9
User_1309,Other,62,India,iOS,2,12,5.23,49,0,0,Trial,0.56,2/8/2023,1.6
User_2801,Female,38,Brazil,iOS,2.1,6,14.36,12,9,2,Premium,0.84,1/9/2023,2.8
User_1279,Other,59,USA,iOS,2,12,47.16,20,8,0,Trial,0.33,2/15/2024,2.5
User_2296,Other,36,USA,iOS,2,7,15.55,26,0,4,Premium,0.78,7/25/2023,2.9
User_2969,Female,23,Canada,Android,2,5,7.18,21,6,1,Trial,0.5,12/30/2024,1
User_2905,Male,38,Australia,iOS,1.1,6,35.18,32,7,1,Free,0.52,1/5/2024,3.8
User_1548,Other,44,Australia,iOS,1.2,4,7.72,20,6,0,Trial,0.41,2/8/2023,3.7
User_2361,Female,38,Canada,Android,1.2,14,53.24,17,7,2,Free,0.51,8/26/2024,3.7
User_2039,Male,24,Germany,Android,2,11,18.69,23,6,3,Free,0.41,3/27/2025,1.6
User_1304,Other,18,Australia,iOS,1,9,27.75,40,9,3,Free,0.84,8/16/2024,4
User_1286,Other,38,USA,iOS,2.1,12,53.56,8,2,0,Premium,0.58,2/3/2024,2.5
User_2179,Female,64,Australia,iOS,1,2,35.2,43,7,1,Free,0.93,9/17/2023,1.7
User_2366,Male,46,UK,Android,2.1,9,47.95,32,7,3,Premium,0.04,8/25/2023,5
User_1151,Other,43,USA,iOS,1.2,2,34.62,46,4,0,Free,0.08,5/15/2025,3.3
User_2279,Female,31,UK,iOS,1.2,8,13.79,41,9,0,Trial,0.32,4/15/2023,4.7
User_1646,Female,64,UK,Android,1.2,6,14.84,46,6,0,Trial,0.03,1/20/2024,1.2
User_2212,Male,64,UK,iOS,1.1,8,54.57,31,3,2,Trial,0.97,5/8/2023,3.1
User_2971,Female,51,USA,Android,1.2,3,30.21,10,7,1,Premium,0.35,11/14/2024,1.1
User_2464,Female,58,USA,Android,1,3,1.82,28,6,3,Premium,0.57,4/14/2024,3.9
User_2352,Other,18,USA,Android,2.1,13,30.18,44,3,0,Premium,0.4,5/27/2023,1.8
User_1116,Male,51,Canada,iOS,1.1,11,50.89,9,7,0,Premium,0.53,6/22/2023,5
User_1211,Female,53,Australia,Android,2,12,57.83,36,0,1,Free,0.26,1/6/2023,2.9
User_2986,Other,35,India,Android,1.2,5,24.11,11,7,4,Trial,0.12,6/9/2024,2.2
User_2926,Male,25,UK,iOS,1.2,12,52.7,32,1,1,Premium,0.13,2/22/2023,2.6
User_1446,Female,51,Brazil,iOS,1.2,10,9.72,7,6,3,Trial,0.63,1/19/2024,2.7
User_2266,Female,41,Germany,Android,2,14,24.85,35,4,2,Free,0.75,2/24/2024,4.4
User_1313,Female,42,India,Android,1,8,20.5,12,2,2,Trial,0.67,12/11/2023,2.1
User_2329,Other,28,India,Android,1.1,9,26.34,9,2,1,Trial,0.08,10/17/2024,4.1
User_2544,Other,40,UK,Android,1,10,28.7,32,5,0,Trial,0.08,9/21/2024,3.9
User_1797,Other,40,USA,iOS,1.2,11,48.63,34,8,2,Premium,0.24,10/13/2024,3.3
User_1922,Other,51,USA,Android,2.1,10,52.25,34,1,0,Free,0.23,3/13/2023,2
User_2087,Other,38,Brazil,iOS,2.1,12,30.22,25,5,3,Free,0.39,3/7/2024,4.4
User_1358,Other,55,USA,iOS,1,9,37.66,48,1,1,Trial,0.08,2/11/2025,4.1
User_2790,Female,18,Canada,Android,2.1,11,29.66,45,6,4,Trial,0.06,9/4/2023,2.2
User_2072,Female,44,Canada,iOS,1.1,9,57.31,44,2,4,Free,0.86,7/28/2024,2.4
User_2770,Male,52,Australia,Android,1.1,13,35.76,18,0,1,Trial,0.75,12/21/2023,3.4
User_2252,Female,36,India,iOS,2.1,1,35.64,10,1,1,Premium,0.71,10/7/2024,4.4
User_2712,Male,59,USA,Android,1.1,8,36.65,41,8,4,Free,0.87,12/1/2023,4.2
User_1680,Male,19,Canada,iOS,1.1,5,49.71,31,1,1,Premium,0.28,10/5/2023,3.7
User_1054,Female,17,Australia,Android,1.2,1,53.97,11,6,1,Free,0.42,1/12/2024,2.7
User_2296,Male,29,Australia,iOS,2.1,14,11.55,40,6,3,Trial,0.48,3/3/2024,1.3
User_1544,Male,31,India,iOS,2,6,27.16,34,5,2,Trial,0.27,5/21/2025,2.7
User_1424,Male,23,Australia,Android,1.2,10,49.25,34,3,0,Free,0.47,11/9/2024,4.7
User_1845,Female,43,Brazil,Android,1.2,10,25.39,16,6,3,Premium,0.23,5/4/2025,4.6
User_1325,Other,15,Canada,Android,2.1,8,3.32,36,1,1,Free,0.89,1/23/2025,3.2
User_2865,Other,40,Australia,iOS,2,7,44.63,19,4,1,Trial,0.69,8/21/2024,3.1
User_1799,Other,44,Australia,iOS,1.2,5,29.69,43,3,4,Free,0.83,9/6/2024,3.5
User_1315,Other,47,Canada,Android,1.1,9,3.41,36,4,4,Trial,0.45,9/8/2024,3.4
User_1409,Male,55,Brazil,Android,2,5,52.9,34,8,2,Free,0.78,10/4/2023,4.2
User_1487,Other,36,Brazil,iOS,1,7,35.39,17,6,1,Premium,0.43,11/23/2024,3.7
User_1871,Male,51,Canada,iOS,2.1,3,56.87,14,5,3,Free,0.59,6/1/2024,4.1
User_1979,Other,46,UK,Android,1,7,29.13,18,0,3,Trial,0.77,9/8/2023,1
User_1939,Other,49,Brazil,Android,2,12,10.12,11,9,0,Trial,0.59,5/2/2023,4.8
User_1332,Male,48,UK,Android,2,5,16.06,8,7,4,Premium,0.08,7/3/2023,2.2
User_1476,Male,49,Canada,Android,2.1,14,56.56,8,3,1,Premium,0.1,1/20/2024,2.5
User_1929,Other,19,USA,iOS,1.1,1,49.76,21,4,0,Free,0.15,11/8/2023,4.1
User_2187,Other,59,USA,Android,2.1,13,5.87,39,2,1,Trial,0.42,11/10/2024,4.9
User_1130,Other,34,USA,iOS,1.2,1,17.96,26,2,3,Trial,0.31,4/17/2024,4
User_1551,Male,28,Canada,iOS,2,6,41.22,35,2,2,Free,0.97,4/14/2025,1.5
User_2379,Male,19,Canada,iOS,2.1,13,35.73,5,2,4,Premium,0.44,1/4/2024,3.3
User_1565,Male,28,Australia,Android,1.2,1,40.88,11,4,0,Free,0.75,9/15/2024,3.4
User_1858,Male,31,USA,iOS,2,11,51,35,1,0,Free,0.89,10/29/2023,1.2
User_2144,Other,54,Brazil,Android,1.2,12,14.89,30,8,3,Premium,0.68,8/25/2023,1.7
User_2895,Male,15,India,iOS,1.1,2,4.51,22,4,0,Free,0.26,4/2/2024,5
User_2978,Male,63,India,iOS,2.1,5,35.92,26,3,4,Premium,0.23,8/15/2024,1
User_1828,Male,46,UK,Android,2.1,14,43.81,42,9,0,Trial,0.07,2/29/2024,3.4
User_2762,Female,21,Canada,iOS,2,9,49.48,35,3,0,Free,0.75,11/3/2024,2.9
User_1544,Female,48,India,iOS,1.2,3,12.37,24,6,2,Free,0.89,5/2/2023,1.8
User_1213,Other,57,Germany,Android,1.2,12,51.4,8,2,3,Trial,0.28,5/4/2023,1.9
User_2785,Other,61,Canada,iOS,2,8,15.94,35,5,0,Free,0.85,7/22/2023,2.7
User_2990,Other,15,USA,iOS,1.2,4,57.17,14,6,1,Trial,0.8,1/5/2025,2
User_2324,Other,60,Brazil,iOS,2,8,53.04,17,7,0,Trial,0.08,8/3/2023,4.8
User_1206,Other,38,UK,Android,2,11,29.4,29,8,1,Premium,0.87,3/3/2023,3.3
User_1407,Female,20,Brazil,iOS,1.1,11,23.02,8,3,0,Trial,0.81,10/2/2023,4.6
User_1009,Female,38,Canada,iOS,1.2,12,21.35,13,1,3,Free,0.22,12/15/2023,1.4
User_2661,Other,61,Australia,iOS,2,10,10.4,42,3,2,Trial,0.77,4/5/2023,2.4
User_2168,Female,28,India,Android,1.2,11,3.21,35,0,0,Free,0.84,3/16/2023,2
User_2753,Other,34,Australia,iOS,2,3,46.79,25,0,3,Premium,0.92,9/7/2023,2.4
User_1840,Male,58,UK,iOS,2,12,35.84,36,4,2,Free,0.35,5/31/2025,4.5
User_1491,Other,39,India,Android,1.1,14,50.03,42,5,3,Premium,0.52,5/14/2023,2.6
User_1723,Other,30,India,Android,2.1,14,31.08,31,4,4,Premium,0.38,5/4/2024,1.5
User_1288,Male,44,Canada,Android,2.1,9,29.9,47,9,4,Free,0.58,11/22/2023,2.1
User_1118,Male,35,India,iOS,1,11,56.96,16,1,4,Premium,0.37,7/20/2023,3.4
User_1939,Male,56,India,Android,1.1,12,8.61,11,4,3,Trial,0.07,12/10/2023,1.3
User_2576,Other,51,Canada,Android,1.2,7,23.36,38,2,3,Premium,0.38,9/28/2024,2.5
User_2785,Other,44,Brazil,Android,2.1,7,27.22,31,9,3,Trial,0.86,7/11/2024,4.9
User_2059,Male,45,Australia,iOS,1.1,4,56.96,23,6,4,Premium,0.59,7/18/2024,4
User_2128,Other,61,Brazil,iOS,1.1,12,30.89,28,4,1,Trial,0.71,9/3/2024,4.4
User_2200,Female,32,Germany,Android,1.1,6,57.67,26,4,1,Premium,0.41,5/5/2025,2.6
User_2770,Female,36,Australia,iOS,1,13,12.76,30,9,3,Free,0.61,1/3/2024,1.2
User_1580,Other,30,Canada,Android,1,2,30.75,15,0,3,Free,0.88,12/27/2024,4.3
User_2632,Female,19,Australia,iOS,2.1,1,56.77,15,6,0,Premium,0.55,5/27/2024,2.7
User_1242,Male,31,Germany,Android,2,5,54.93,7,1,1,Premium,0.04,9/24/2024,1.1
User_1957,Female,21,India,iOS,1,9,21.2,31,5,1,Trial,0.04,10/17/2024,1.3
User_1243,Other,30,UK,Android,2.1,6,32.34,48,0,1,Premium,0.56,11/30/2023,2.8
User_1620,Other,46,Australia,iOS,1,8,41.35,6,5,1,Trial,0.46,6/28/2023,1.2
User_2220,Other,63,India,Android,1,8,46.64,24,1,0,Trial,0.22,12/23/2023,3.1
User_2918,Male,46,Australia,Android,1.2,12,10.12,46,8,1,Free,0.49,4/13/2023,1.1
User_2010,Other,56,Canada,Android,2.1,2,15.56,16,8,3,Trial,0.23,4/19/2023,3.7
User_1946,Other,17,Brazil,iOS,1.2,10,55.95,44,9,2,Free,0.01,10/9/2023,4.8
User_1828,Male,33,India,iOS,1,10,57.99,16,6,1,Trial,0.53,12/20/2023,3.8
User_2050,Other,38,UK,iOS,1.1,12,9.89,25,8,1,Free,0.85,4/16/2024,2
User_1268,Female,53,Canada,Android,2,12,43.75,38,3,3,Trial,0.26,2/25/2025,1.1
User_1819,Male,33,India,iOS,2,1,40.84,22,6,4,Premium,0.72,4/13/2024,2.4
User_1280,Male,43,UK,Android,1.1,14,34.89,6,1,2,Premium,0.53,8/2/2024,1.3
User_2718,Female,25,Canada,Android,2,7,40.74,39,8,0,Trial,0.21,10/31/2024,1.2
User_1582,Other,64,USA,iOS,1,9,54.7,14,7,0,Free,0.07,2/18/2024,3.5
User_1062,Female,45,India,Android,2,1,14.62,25,3,2,Free,0.85,5/6/2024,1.8
User_1374,Other,23,Brazil,iOS,1.1,12,38.91,49,1,1,Trial,0.44,1/22/2025,4.2
User_2188,Other,28,USA,iOS,2.1,2,50.4,27,1,2,Premium,0.94,2/2/2024,2
User_2404,Female,52,Australia,iOS,2,5,28.44,12,0,0,Free,0.19,12/9/2023,3.3
User_2417,Male,37,Australia,Android,1,14,34.45,11,3,3,Trial,0.12,1/21/2023,1.2
User_1127,Male,60,Australia,Android,1.1,2,24.37,5,9,3,Trial,0.53,7/3/2024,4.8
User_2928,Female,55,USA,iOS,1.1,5,12.13,29,3,1,Trial,0.49,10/17/2024,4
User_1190,Other,41,Germany,iOS,1.2,14,34.13,28,1,2,Premium,0.6,5/23/2024,1.5
User_2684,Other,49,Germany,Android,1.1,8,14.99,44,5,1,Trial,0.83,2/17/2025,2.9
User_1677,Male,60,Australia,iOS,2.1,4,38.9,29,7,2,Premium,0.36,7/30/2024,2.9
User_2080,Male,48,Brazil,Android,2.1,3,49.92,44,9,1,Premium,0.22,6/12/2024,2
User_1421,Other,51,Brazil,iOS,2.1,10,25.44,23,5,3,Premium,0.91,1/17/2025,2.5
User_2010,Female,55,Germany,iOS,2,4,14.78,48,1,4,Trial,0.49,2/24/2023,2.4
User_2899,Male,55,UK,Android,1,14,1.04,41,1,0,Trial,0.47,6/1/2025,3.3
User_2933,Male,43,Brazil,Android,1.2,4,30.16,11,9,4,Trial,0.57,9/6/2023,2.8
User_1686,Other,28,Germany,Android,1,10,15.85,6,1,4,Premium,0.28,4/13/2025,2.2
User_2313,Male,48,USA,Android,2.1,9,19.43,32,8,3,Premium,0.1,6/8/2024,1.7
User_1509,Male,22,UK,Android,2,3,51.24,23,0,1,Premium,0.27,5/14/2025,4.1
User_2104,Other,16,Germany,Android,2.1,10,4.8,41,4,0,Trial,0.52,2/24/2025,1.1
User_2110,Male,26,Canada,Android,1.1,8,19.7,29,7,4,Premium,0.41,5/6/2024,1.4
User_1061,Female,24,Canada,Android,2.1,3,45.44,40,4,2,Free,0.31,11/26/2024,4
User_2233,Male,38,India,Android,2.1,4,23.56,17,3,2,Trial,0.06,12/5/2023,4.7
User_2731,Other,30,India,Android,2,14,42.09,17,4,3,Premium,0.3,4/3/2023,4.8
User_1866,Male,14,UK,Android,1.1,12,2.47,27,3,1,Free,0.72,7/27/2024,2.7
User_1091,Other,50,USA,iOS,1.2,6,53.09,43,5,4,Trial,0.1,2/19/2025,4.6
User_1572,Male,24,USA,iOS,2,7,6.49,24,8,3,Trial,0.8,12/14/2023,3.6
User_2327,Other,15,UK,Android,2,13,12.44,19,2,1,Premium,0.2,2/11/2023,1.5
User_1680,Female,55,Canada,iOS,1.2,8,3,14,3,0,Trial,0.05,2/25/2024,3.8
User_1900,Other,21,Canada,Android,2.1,4,21.82,10,1,1,Premium,0.48,8/1/2024,4
User_2652,Other,25,Germany,iOS,2,11,56.34,6,8,0,Trial,0.6,2/8/2024,3.2
User_2416,Female,40,UK,Android,2.1,5,34.41,24,2,3,Premium,0.11,11/13/2023,2.8
User_1126,Female,14,USA,Android,1,2,57.47,33,3,1,Premium,0.76,3/25/2024,3.3
User_1060,Male,58,India,Android,2.1,5,30.75,22,8,4,Free,0.61,6/29/2024,1.8
User_2489,Male,62,Germany,iOS,1.1,12,5.64,47,3,4,Free,0.13,3/4/2025,2.6
User_2190,Female,63,India,iOS,2,12,48.61,16,6,1,Trial,0.76,9/19/2024,2.4
User_1860,Other,35,USA,Android,1,3,26.09,23,9,3,Trial,0.37,11/19/2023,3.1
User_2260,Other,53,USA,iOS,1.2,5,5.96,42,2,2,Premium,0.04,11/12/2024,4.9
User_2482,Other,37,Australia,iOS,1,9,54.49,7,9,0,Trial,0.18,3/9/2024,1.1
User_2260,Other,39,Germany,Android,2.1,11,16.58,48,3,2,Free,0.6,8/11/2024,2.3
User_1049,Other,46,Brazil,iOS,1.2,1,20.78,49,5,4,Trial,0.15,12/27/2024,1.3
User_1139,Male,54,UK,iOS,1,7,3.99,33,7,4,Free,0.27,12/14/2023,1.4
User_1061,Female,36,UK,iOS,1.2,11,59.3,20,0,2,Free,0.64,2/7/2024,1.1
User_2246,Other,42,India,iOS,2.1,10,23.58,37,8,4,Free,0.26,4/27/2025,4.4
User_2007,Female,46,Australia,iOS,1.2,7,38.16,49,2,1,Premium,0.39,2/16/2025,2.3
User_1730,Female,17,Brazil,iOS,2,4,11.07,48,5,1,Premium,0.31,3/3/2024,2.2
User_1606,Female,49,Brazil,iOS,1.2,4,56.51,18,7,0,Trial,0.94,2/27/2024,2
User_1909,Female,17,UK,Android,2.1,2,47.31,32,7,3,Premium,0.5,1/5/2023,1.5
User_1836,Male,26,Brazil,Android,2,2,24.91,28,1,3,Trial,0.29,3/15/2024,2.8
User_2577,Other,20,UK,iOS,1,9,15.18,13,9,4,Trial,0.46,9/17/2023,1.8
User_2710,Other,46,Brazil,iOS,2,1,6.97,25,5,3,Trial,0.96,10/1/2024,4.7
User_2598,Other,21,UK,Android,2,2,33.18,32,2,2,Premium,0.61,9/19/2023,4
User_1014,Male,42,Germany,Android,1.2,11,19.44,7,1,3,Premium,0.7,8/17/2024,3.9
User_1041,Male,16,USA,Android,1.1,1,48.39,26,4,0,Trial,0.09,2/28/2024,2.6
User_2285,Female,37,Brazil,iOS,2,3,45.18,32,8,3,Free,0.51,11/14/2024,2.3
User_1362,Other,21,India,iOS,1.1,2,51.91,21,1,2,Premium,0.35,1/11/2024,3.2
User_2060,Other,21,UK,Android,2.1,11,18.8,47,7,2,Free,0.62,3/17/2024,4.2
User_2432,Female,49,Australia,iOS,2.1,5,41.49,13,3,1,Premium,0.55,6/22/2023,1.3
User_2758,Other,26,India,iOS,1.2,10,19.81,13,3,1,Trial,0.91,1/26/2024,3.7
User_2877,Male,52,India,iOS,1.2,9,18.42,45,2,2,Trial,0.11,9/8/2023,1.8
User_2780,Other,30,Canada,Android,1.1,4,10.07,7,1,3,Trial,0.01,1/28/2025,4.6
User_1956,Female,64,Canada,iOS,1.1,9,57.14,19,0,4,Trial,0.58,4/3/2024,2.7
User_1529,Female,54,Brazil,iOS,1.2,7,44.52,49,1,1,Premium,0.98,7/13/2023,3.4
User_2995,Female,22,USA,iOS,2,2,33.97,49,2,3,Free,0.07,3/16/2023,4.7
User_2188,Female,24,India,iOS,2.1,1,5.93,46,9,0,Trial,0.08,7/5/2023,3
User_2785,Female,59,USA,Android,2.1,2,55.7,47,7,4,Free,0.7,10/13/2024,1.5
User_1525,Other,31,Germany,Android,2.1,5,52.52,21,2,0,Free,0.83,8/28/2024,5
User_2201,Male,23,UK,Android,2.1,12,40.22,23,5,1,Premium,0.28,4/23/2023,3.3
User_2372,Other,61,UK,Android,2.1,4,32.05,25,3,4,Premium,0.21,10/7/2024,2.7
User_2219,Other,19,India,iOS,1,10,3.22,20,8,0,Free,0.91,2/25/2025,4.5
User_2873,Female,40,Brazil,iOS,2.1,4,5.38,39,7,2,Trial,0.6,3/17/2025,4
User_1697,Male,20,Germany,iOS,1.2,1,5.35,14,5,4,Free,0.75,12/29/2023,4.5
User_2115,Other,14,India,iOS,1,13,55.94,35,0,3,Premium,0.01,12/15/2024,2.3
User_2814,Female,25,India,iOS,1.2,12,16.96,20,3,4,Trial,0.4,8/26/2024,3.8
User_1041,Male,32,India,Android,1.1,8,13.83,48,0,1,Trial,0.23,5/20/2025,3.5
User_1535,Male,32,USA,Android,1,4,51.17,9,6,0,Free,0.58,8/3/2023,3.8
User_1562,Other,25,USA,iOS,2,11,8.82,41,0,2,Premium,0.67,5/11/2023,1.9
User_1031,Male,60,India,iOS,1,14,57.45,8,0,4,Free,0.97,1/30/2025,1.3
User_1205,Other,33,Brazil,Android,1,6,13.83,9,0,3,Free,0.17,5/28/2023,1.7
User_1729,Other,45,Australia,Android,1.2,8,59.75,20,2,0,Premium,0.51,3/29/2024,2.7
User_2416,Female,18,UK,iOS,1.1,11,42.81,11,5,4,Premium,0.4,2/27/2023,1.2
User_2830,Female,39,India,Android,1.1,4,39.28,46,2,2,Free,0.61,3/31/2024,4.6
User_1733,Male,15,Germany,Android,1,14,9.63,44,1,1,Trial,0.15,1/20/2024,2.9
User_1634,Other,53,UK,Android,1.1,1,1.98,41,1,1,Free,0.2,11/27/2024,2.7
User_1734,Male,18,USA,iOS,1.2,14,13.6,15,8,4,Free,0.88,12/27/2023,3.1
User_1282,Female,37,UK,iOS,2,11,20.98,41,0,4,Premium,0.42,5/12/2025,2.2
User_2568,Male,27,Germany,Android,2,8,41.17,46,1,0,Free,0.07,5/11/2024,3.9
User_2978,Male,57,Germany,iOS,2.1,10,2.28,7,5,0,Trial,0.82,1/2/2025,1.4
User_2191,Female,41,Brazil,Android,1.2,1,57.61,32,5,2,Free,0.36,11/6/2024,1.8
User_2984,Female,61,Canada,Android,2,13,44.48,23,0,3,Free,0.76,12/17/2023,2.2
User_1779,Male,27,India,Android,1.1,2,9.2,47,5,2,Trial,0.69,7/26/2023,2.7
User_1147,Other,60,India,Android,2,1,2.49,19,1,0,Free,0.55,10/30/2023,4.3
User_2195,Other,17,Germany,iOS,1,2,36.44,40,2,2,Premium,0.94,3/17/2023,1.5
User_1206,Male,46,Canada,iOS,1.2,5,31.77,18,8,1,Free,0.26,11/5/2023,2.9
User_2878,Male,41,Brazil,iOS,2,2,5.06,26,7,1,Trial,0.49,8/31/2024,4.4
User_2109,Female,30,USA,Android,1.1,13,58.01,17,0,4,Premium,0.57,3/31/2025,4.8
User_1309,Other,15,India,iOS,2,5,58.17,11,9,3,Trial,0.97,10/31/2023,2.9
User_1008,Other,43,India,iOS,2,4,6.4,6,9,2,Premium,0.95,4/25/2024,2.1
User_1443,Male,57,UK,iOS,1.1,12,27.09,28,3,3,Premium,0.22,2/22/2023,4.3
User_1468,Female,47,Australia,iOS,1,8,28.81,13,8,3,Free,0.08,7/2/2023,3.5
User_2252,Other,35,India,Android,1.1,4,22.95,27,3,4,Free,0.95,1/6/2023,4.4
User_1483,Female,60,Germany,iOS,1.1,6,6.53,25,0,0,Premium,0.15,3/16/2024,3.8
User_2305,Female,40,UK,iOS,2.1,7,13.48,23,6,4,Premium,0.33,3/24/2023,3.4
User_2257,Male,50,Canada,iOS,1,7,47.05,29,1,4,Trial,0.04,5/5/2023,1.5
User_2900,Male,28,UK,Android,1.1,11,57.85,12,6,2,Free,0.81,3/26/2025,4.7
User_2749,Other,33,USA,iOS,1.1,1,11.35,13,4,1,Free,0.45,12/14/2023,3.3
User_2029,Female,39,Australia,Android,1.1,6,57.48,48,9,0,Trial,0.27,2/25/2023,4
User_2467,Other,57,Australia,iOS,1.2,7,46.47,8,0,0,Free,0.38,4/20/2023,4.1
User_2548,Male,58,Australia,Android,2.1,10,17.53,8,4,4,Trial,0.73,4/4/2023,4.4
User_2279,Female,62,UK,iOS,2,2,11.33,28,4,3,Premium,0.81,9/13/2023,4.6
User_2799,Other,40,Germany,iOS,1.1,6,16.78,27,0,2,Trial,0.66,1/8/2023,3.5
User_1053,Female,17,Canada,iOS,1.1,6,26.09,20,8,4,Free,0.42,4/6/2023,3.2
User_1011,Other,19,Canada,iOS,2.1,7,52.37,11,1,4,Trial,0.45,6/23/2023,1.7
User_2131,Other,18,Brazil,Android,1.1,3,19.87,36,8,4,Free,0.01,1/11/2024,2.1
User_2431,Female,35,Germany,iOS,2.1,14,31.98,37,7,2,Free,0.11,12/17/2023,2
User_1403,Female,14,USA,iOS,1.1,9,8.12,33,2,4,Free,0.97,5/6/2024,4.9
User_1049,Female,16,Germany,Android,1.1,6,30.81,29,1,2,Premium,0.55,3/20/2024,1.3
User_1055,Male,64,Canada,Android,1,5,18.44,36,6,4,Premium,0.04,3/3/2024,2.1
